fecha,anomalía,ranking
1980-02-01,76.28,30
1980-01-01,83.53,388
1979-12-01,80.02,130
1979-11-01,81.96,260
1979-10-01,80.15,135
1979-09-01,81.33,217
1979-08-01,83.58,390
1979-07-01,82.78,328
1979-06-01,81.27,213
1979-05-01,80.87,178
1979-04-01,78.56,65
1979-03-01,83.7,400
1979-02-01,76.5,32
1979-01-01,84.06,428
